NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;RESULTADO
15115;15;0;51;2;8;1;2000000;0;3
20222;20;0;48;2;4;3;1000000;0;3
51000;51;0;33;4;8;3;1000000;0;3
65111;65;0;54;2;8;3;1000000;0;3
36000;36;0;51;4;8;1;1000000;0;3
17888;17;0;39;4;7;1;1000000;0;3
70222;70;0;62;2;3;3;1000000;0;3
50888;50;0;30;2;8;1;1000000;0;4
17999;17;0;43;4;6;3;1000000;0;3
43099;43;1;52;2;8;3;1000000;0;3
70789;70;0;29;2;8;1;1000000;0;3
77987;77;1;43;4;8;1;1000000;0;3
50500;50;1;61;2;8;3;1000000;0;4
77277;77;0;53;2;8;3;1000000;0;3
50551;50;0;70;2;6;3;1000000;0;4
19700;19;0;55;2;7;9;1000000;0;3
12111;12;0;40;4;6;1;1000000;0;3
17321;17;1;55;4;6;1;1000000;0;3
50003;50;0;68;2;8;3;1000000;0;4
16123;16;0;49;4;8;1;1000000;0;4
43607;43;0;50;2;4;3;1000000;0;3
70133;70;0;60;2;8;3;1000000;0;3
25110;25;0;74;2;8;3;1000000;1;1
10777;10;0;47;4;6;1;1000000;0;3
10123;10;0;72;2;8;3;1000000;0;3
13131;13;0;61;2;8;3;1000000;0;3
51111;51;1;55;2;8;3;1000000;0;3
50321;50;0;28;4;6;1;1000000;0;4
27103;27;0;53;4;6;1;1000000;0;3
27050;27;0;65;2;8;3;1000000;0;3
50050;50;0;36;4;6;3;1000000;0;4
27007;27;1;51;4;6;3;1000000;0;3
22000;22;0;30;2;8;3;1000000;0;3
77700;77;0;40;4;6;3;1000000;0;3
14321;14;0;28;2;6;3;1000000;0;3
77100;77;0;39;4;6;1;1000000;0;3
35444;35;0;43;2;8;3;1000000;0;3
77110;77;0;25;4;5;1;1000000;0;3
31888;31;0;51;4;6;3;1000000;0;3
